k,mean_absolute_error,mean_squared_error,root_mean_squared_error
0,7.04854,70.0614,8.370269
1,6.878434,67.73142,8.22991
2,6.0680575,60.723972,7.7925587
3,2.2371635,21.86012,4.675481
4,2.3264492,22.192757,4.710919
5,3.0182486,35.011005,5.91701
6,3.2930806,40.28736,6.3472323
7,2.7956336,32.48393,5.699467
8,6.068746,89.92457,9.482857
9,4.554823,44.508495,6.6714687
10,6.6226573,69.65591,8.346011
11,1.4916035,3.4298792,1.8519933
12,0.6710186,0.45026597,0.6710186
15,4.08265,42.947773,6.0589375
